site_id,subject_id,Age,Gender,AssociatesDegreeDiscipline,BachelorsDegreeDiscipline,CertificateDegreeDiscipline,MastersDegreeDiscipline,PhdDiscipline,CurrentDegree,CurrentDegreeDiscipline,HighestDegree,Job_1_Type,Job_1_Employer,Job_1_Title,Job_1_Years,Job_2_Type,Job_2_Employer,Job_2_Title,Job_2_Years,Job_3_Type,Job_3_Employer,Job_3_Title,Job_3_Years,Job_4_Type,Job_4_Employer,Job_4_Title,Job_4_Years,Job_5_Type,Job_5_Employer,Job_5_Title,Job_5_Years,Job_6_Type,Job_6_Employer,Job_6_Title,Job_6_Years,Job_7_Type,Job_7_Employer,Job_7_Title,Job_7_Years,Job_8_Type,Job_8_Employer,Job_8_Title,Job_8_Years,Job_9_Type,Job_9_Employer,Job_9_Title,Job_9_Years,Job_10_Type,Job_10_Employer,Job_10_Title,Job_10_Years,YearsExperience,YearsGeoIntExperience,ProbabilityAndStatsTraining,ProbabilityAndStatsFrequency,GeospatialDataFrequency,GeointAnalysisLevel,SpatialAbility,BIS,BASDrive,BASFunSeeking,BASRewardResponsiveness,BASTotal,FoxHedgehogScore,SNA,CRTScore,VGE
PSU,103,22,Female,,,,,,Bachelor,Geography,Bachelor,Other,Penn State's Sustainability Institute,Intern,1.5,Other,Penn State's Housing and Food Services,Conference Assistant  Desk Clerk,2,Other,Seven Stars Inn,Bus person,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,0,1,2,2,1,3,148,76,82,98,256,28,,0,
PSU,104,20,Male,,,,,,Bachelor,Information and cybersecurity,,Other,Bagel Lovers  Inc.,Front Counter,3,Other,Hidden Valley Scout Reservation,Program Staff,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,1,1,1,1,2,145,76,76,101,253,-10,,2,
PSU,105,24,Male,,Mechanical Engineering,,,,Master,Mechanical Engineering,Bachelor,Other,Penn State,RA,1,Other,Zw-Art Mechatronics,Engineer,2,Other,Alpha Fire Company,Volunteer Fire Fighter,4,Other,Penn State,TA,2,Other,Wegmans,Cashier,3,,,,,,,,,,,,,,,,,,,,,12,0,2,2,1,1,2,133,76,88,107,271,14,,2,
PSU,106,19,Male,,,,,,Bachelor,Computer Engineering,,Other,Findlay Dining Commons,Student Manager,1,Other,Pacifico Carpentry Co.,Skilled Labor,6,Other,Vector Marketing,Sales Associate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,2,2,1,0,4,148,76,79,107,262,28,,3,
PSU,107,21,Male,,,,,,Bachelor,Computer Engineering,,Other,Pacifico Carpentry,Craftsman,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,2,1,1,1,2,133,85,76,107,268,4,,3,
PSU,108,20,Male,,,,,,Bachelor,Cyber-security/IST,,Other,Michael D'Asaro,Computer technician,2,Other,Tom Hixon,Camera Operator,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,2,0,0,1,139,76,76,107,259,24,,0,
PSU,109,44,Male,,Secondary Ed. Biology,,Biology,,PhD,Science Education,Master,,,,,Other,Penn State University,Science Education Instructor,2,Other,PSU,Educational Researcher,3,Other,Upward Bound Math Science,Science Teacher,10,Other,Kutztown University,Academic Coordinator,8,Other,Roberto Clemente Charter School,Science Teacher/Counselor,9,,,,,,,,,,,,,,,,,32,0,1,2,1,1,2,136,76,76,95,247,18,,2,
PSU,110,20,Female,,,,,,,,,,,,,Other,Col. Jake Graham,Sentiment Analyst/Research,1,Other,IST,LA - SRA 111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0,0,1,139,76,76,101,253,0,,2,
PSU,111,22,Male,,,,,,Bachelor,aerospace engineering,,Other,Temple Aluminum Foundry Inc.,Laborer,7,Other,Stone Valley Vertical Adventures,Facilitator,3,Other,Cafe 210,Dish Washer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,1,1,1,1,2,136,76,85,110,271,10,,3,
PSU,112,21,Male,,,,,,Bachelor,Information Science and Technology,,Other,Penn State,Student Researcher,2,Other,Walmart,Sales Associate,2,Other,Quiznos,Employee,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,1,1,1,1,3,145,76,76,98,250,-2,,2,
PSU,113,22,Male,,Environmental Resource Management,,,,,Research Technologist- Biochemistry Penn State Lab,Bachelor,GeospatialAnalysis,Pennsylvania State University,Research Technologist B&MB DEPT,1,Other,Pennsylvania State University,Undergraduate Reasearch,2,Other,Team Blue Car Wash,Washing Cars,1,Other,Morgan Properties,Lifeguard,3,,,,,,,,,,,,,,,,,,,,,,,,,7,0,2,2,2,1,3,136,76,79,101,256,6,,3,
PSU,114,20,Male,,,,,,Bachelor,Security and Risk Analysis,,Other,Penn State Altoona OIT,Technician,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,3,2,1,2,133,76,79,98,253,8,,0,
PSU,115,19,Male,,,,,,Bachelor,Security and Risk Analysis,,Other,Penn State University,Lab Technician ,1.5,Other,JCC Camps @ Medford,Camp  Counselor ,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,0,1,1,1,0,0,142,82,82,104,268,6,,0,
PSU,116,26,Male,,,,,,Bachelor,Security and Risk Analysis,,Other,Penn State Auxiliary Police,Assistant Superviser,1.5,Military,United States Army,Cavalry Scout,3,Other,Jared: The Galleria of Jewelry,Seasonal Helper,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,0,1,2,1,0,3,139,79,79,101,259,12,,3,
PSU,117,43,Male,,Meteorology,,,Atmospheric Science,,,PhD,Other,Penn State,Assist Prof,17,Other,PRC  Inc,Consultant,1,Other,Penn State,Grad Student,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,2,2,2,0,3,145,76,85,98,259,-20,,3,
PSU,118,21,Male,,,,,,Bachelor,Security and Risk Analysis,,Other,Fairfax County Park Authority,Marina Employee,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,1,0,2,136,85,79,107,271,6,,1,
PSU,119,22,Male,,,,,,Bachelor,Secondary Education: Earth and Space,,Other,Team Blue Car Wash,Car Washer,0.5,Other,Weis Grocery Store,Stocker,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,0,2,142,76,76,98,250,36,,2,
PSU,120,21,Male,,,,,,,intelligence analysis,,Other,Above and beyond ballooning,Crew ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,2,0,1,1,139,79,82,107,268,-12,,0,
PSU,121,21,Male,,,,,,Bachelor,Aerospace Engineering,,Other,Boeing,Structural Engineering Intern,3,Other,Walgreen's,Photo Technician,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,1,2,2,1,3,148,76,85,107,268,-10,,3,
PSU,122,23,Male,,,,,,Bachelor,Psychology,,Other,Petco,Sales Associate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0,0,2,142,76,79,101,256,40,,0,
PSU,123,30,Male,,Geography,Geographic Information Systems,,,Master,Homeland Security - Geospatial Intelligence,Bachelor,GeospatialAnalysis,The Pennsylvania State University - Biology,Research Technologist III,3,Other,Stratamodel Inc.,Chief Field Technician,4,Other,Lake Oswego Corp.,Operations Supervisor,2.5,Other,The Pennsylvania State University - Plant Pathology,Farm Technician,2,,,,,,,,,,,,,,,,,,,,,,,,,11.5,0,1,2,3,3,4,136,76,79,98,253,14,,3,
PSU,124,20,Male,,,,,,Bachelor,Penn State,,Other,Penn State ITS,Lab Consultant,3,Other,Bedford Gazette ,Foot Carrier,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,1,2,2,1,3,136,76,76,98,250,4,,0,
PSU,125,20,Male,,,,,,Bachelor,Aerospace Engineering,,Other,Metuchen  NJ YMCA,Life Guard/Swimming Instructor,2,Other,StaffMart Dayton  NJ,Temporary Worker,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,2,1,1,2,142,76,79,104,259,8,,1,
PSU,126,20,Male,,,,,,Bachelor,Security and Risk Analysis,,Other,Amazon Fullfillment Centers,Associate,0.3,Military,US Army PKSOI,Research Clerk,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0,1,1,0,0,2,133,82,79,107,268,-14,,3,
PSU,127,21,Male,,,,,,Bachelor,Landscape Contracting,,Other,Khuns Tree Farm,Christmas tree farmer,7,Other,Ruppert Landscapes,Intern,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,1,1,2,1,3,142,79,79,107,265,-12,,0,
PSU,128,22,Male,,Nutrition ,,,,,,Bachelor,Other,NACUFS Intern,Food Service Manager,1,Other,Boscovs ,Phone Audit,1,Other,Docs Family Fun Center,Ref,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,1,2,1,0,2,142,76,76,107,259,10,,1,
PSU,129,20,Male,,,,,,Bachelor,Information Sciences and Technology and Security and Risk Analysis,,Other,Breathing Room Foundation,Volunteer,1,Other,Krispy Kreme,Retail Specialist,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,2,1,1,0,136,76,79,104,259,12,,1,
PSU,130,20,Male,,,,,,Bachelor,Geography,,GeospatialAnalysis,State College Planning Department,GIS Intern,0.25,GeospatialAnalysis,Penn State University Libraries,GIS Intern,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,0,2,2,3,1,3,136,76,76,95,247,18,,0,
PSU,131,21,Male,,,,,,Bachelor,Security and Risk Analysis,,Other,The Tavern,Busser,1,Other,Penn State Commons Desk,Commons Desk Coordinator,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,2,2,1,2,133,79,85,110,274,-6,,1,
PSU,132,20,Male,,,,,,Bachelor,Geography-GIS Option,,GeospatialAnalysis,Terrasim Inc.,Geospatial Analyst Intern,,Other,Giant Food Stores,Cashier/Service Associate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,2,3,3,2,3,136,76,76,98,250,18,,0,
PSU,133,20,Male,,,,,,Bachelor,Security & Risk Analysis - College of IST,,Other,Parkway Pool & Patio,Sales Associate,1,Other,Atria Senior Living,Server,1,Other,Giant Food Stores,Associate,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,2,2,1,2,139,76,79,101,256,12,,0,
PSU,134,21,Male,,,,,,Bachelor,Security Risk Analysis,,Other,Subway,Sandwich Artist,1,Other,Barrie Day Camp,Senior Counselor,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,1,0,1,0,133,79,79,98,256,-32,,0,
PSU,135,20,Male,,,,,,Bachelor,Intelligence  National Security  Cybersecurity,,Military,Air Force Reserve Officer Training Corps,Cadet,2,Other,Applebees,Server,2,Other,Franco's Pizza,Server,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,1,2,1,0,1,133,82,85,107,274,12,,1,
PSU,136,19,Male,,,,,,Bachelor,SRA/IAM,,Other,Camp Lakota,Group Leader/General Counselor,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,0,0,1,3,136,76,76,101,253,2,,1,
PSU,137,23,Male,,,,,,Bachelor,Crime Law and Justice + Security and Risk Analysis,,Other,Burlington Coat Factory,Receiving Associate,1,Other,Keystone Oaks High School,Summer Help,1,Other,Castle Shannon Library,Library Page,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,1,1,0,0,3,139,76,79,98,253,22,,1,
PSU,138,29,Male,,Geographic Information Science,,Geography,,PhD,Geography,Master,Other,Esri,Cartographic Product Engineer,,Other,The Pennsylvania State University,Graduate Fellow/Research Assistant,3,Other,Michigan State University,Research Assistant,2,Other,Michigan State University,Research Aide,1,Other,Michigan Department of Education,Student Assistant,6,,,,,,,,,,,,,,,,,,,,,12,0,2,2,3,3,4,136,85,79,104,268,-18,,3,
PSU,139,21,Female,,,,,,Bachelor,Rehabilitation,,Other,The Family Clothesline,Sales Associate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,2,1,1,3,154,79,82,107,268,32,,2,
PSU,140,28,Male,,Finance,,Higher Education Administration,,,,Master,Other,Penn State University,Learning Designer,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,2,1,0,0,0,136,76,76,101,253,-20,,1,
PSU,141,20,Male,,,,,,Bachelor,Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,2,139,82,88,107,277,22,,0,
PSU,142,22,Male,,,,,,Bachelor,Information Sciences and Technologies,,,,,,Other,Mad Mex Happy Valley,Server,0,Other,Saloon State College,Door Staff,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,2,2,1,3,139,79,85,107,271,16,,1,
PSU,143,20,Male,,,,,,Bachelor,Security and Risk Analysis,,Military,Army National Guard,Specialist/Infantryman,2,Other,Garden State Powerwash,Foreman,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,1,1,1,1,136,79,82,101,262,-12,,1,
PSU,144,20,Male,,,,,,Bachelor,Security and Risk Analysis,,Other,Bedford Area High School,IT Consultant/Cybersecurity Analyst,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,2,1,2,136,76,79,95,250,-10,,2,
PSU,145,33,Male,Weather Technology,Social Studies (7-12),,,,Bachelor,Geography,Bachelor,Military,United States Air Force,Weather Forecaster / Supervisor,4,Other,Tunkhannock Area School Dist.,Substitute Teacher,3,Other,Abington Heights School Dist,Substitute Teacher,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,1,1,3,1,4,139,76,82,98,256,4,,3,
PSU,146,21,Male,,,,,,Bachelor,Security and Risk Analysis: Social Factor and Risk,,Other,Coatesville Country Club,Server,5,Other,Rediffer Commons,Food Worker,0.5,Other,The Family Clothesline,Sales Associate,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,0,2,2,1,1,0,136,76,82,104,262,4,,1,
PSU,147,21,Female,,,,,,Bachelor,Geospatial Information Sciences,,Other,The Gould Center,Intern,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0,1,2,3,2,4,139,76,79,107,262,16,,2,
PSU,148,18,Male,,,,,,Bachelor,Economics,,Other,Home Delivery Pizza,Host,,Other,Worthington Lawnscapes,Laborer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,1,1,1,3,133,79,85,101,265,20,,0,
PSU,149,23,Female,,Psychology  B.S.,,,,,,Bachelor,,,,,Other,Strawberry Fields  CRR,Psychiatric Direct Support Specialist,,Other,Penn State,Research Assisstant,4,Other,Centre County Women's Resource Center,Counselor/Advocate,2,Other,MidStep Centers for Child Development,Intern/Intake Coordinator,1,Other,Victoria's Secret,Sales Associate,4,,,,,,,,,,,,,,,,,11,0,2,2,0,0,1,133,76,76,98,250,0,,0,
PSU,150,21,Female,,,,,,Bachelor,Security and Risk Analysis/IAM option,,Other,Lowe's,Customer Service,,Other,Extra Extra,Cashier,,Other,Bath and Body Works,Sales Associate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,145,85,88,98,271,4,,0,
PSU,151,20,Male,,,,,,Bachelor,Security Risk Analysis- Information and Cyber Security,,Other,Maximum Research,Consumer Researcher,0.25,Other,Platinum Parking,Valet Driver,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,0,1,1,1,1,1,136,60,79,110,249,4,,0,
PSU,152,19,Male,,,,,,Bachelor,Computer Science,,Other,Rockland Manufacturing,Sales Associate,0.5,Other,Pitt Theatre,Projectionist,5,Other,Bedford Area School District,Assist Marching Band Director,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,1,2,1,1,2,139,79,76,104,259,28,,2,
PSU,153,20,Male,,Information Sciences & Technology,,,,Bachelor,Information Sciences & Technology: Integration & Application,Bachelor,Other,Bob Beggs,Good Works - General Manager,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,0,1,1,2,142,76,79,98,253,36,,1,
PSU,154,20,Male,,,,,,Master,Information Sciences and Technology: Design and Development,,Other,PSU,Commons Desk,0.5,Other,Dairy Queen,Cook,3,Other,Kepler Pool,Front Desk,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,1,1,0,0,0,136,76,79,104,259,8,,0,
PSU,155,22,Female,,,,,,Bachelor,Archaeological Science,,Other,Penn State University,Research,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,2,2,1,2,136,79,88,110,277,22,,0,
PSU,156,21,Male,,,,,,Bachelor,Information Science and Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,1,0,3,133,82,85,107,274,14,,2,
PSU,157,22,Male,,,,,,Bachelor,Geography,,Other,GeoVISTA Center,Research Internship,1,Other,Penn State,Teaching Internship,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0,1,2,3,2,4,139,79,82,107,268,24,,2,
PSU,158,24,Male,,Biology,,Biotechnology,,Master,Computer Science,Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,0,1,3,151,79,88,110,277,4,,0,
PSU,159,22,Female,,,,,,Bachelor,Security and Risk Analysis,,Military,U.S. Army War College,Intern,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0,2,1,2,1,2,136,85,79,98,262,-40,,0,
PSU,160,21,Male,,,,,,Bachelor,Nutritional Sciences,,Other,Mine Hill Dept. Public Works,Summer Temp.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,2,0,0,3,133,76,85,101,262,-4,,3,
PSU,161,19,Female,,,,,,,,,Other,NROTC,Midshipman,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,2,1,3,136,82,85,98,265,-4,,0,
PSU,162,21,Male,,,,,,Bachelor,Electrical Engineering,,Other,Chester Springs Creamery,Server,4,Other,Milky Way Farm,Farm Hand,1,Other,Chipotle Mexican Grill,Server/Prep/Cook,1,Other,Savantis Group,Consultant Intern,1,Other,SAP America,Center of Expertise Intern,1,,,,,,,,,,,,,,,,,,,,,8,0,1,1,0,0,2,139,76,76,110,262,12,,2,
PSU,163,23,Female,,,,,,Bachelor,psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,2,133,76,79,98,253,32,,0,
PSU,164,22,Male,,,,,,Bachelor,Electrical Engineering,,Other,Rite Aid,Pharmacy Technician,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0,2,1,1,0,2,139,79,82,101,262,-24,,1,
PSU,165,20,Male,,,,,,Bachelor,Integrative Arts / Music Technology,,Other,Bryce Jordan Center,Stage Crew,1,Other,Sellersville Theater,Sound Tech / Stage Crew,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,1,1,3,133,82,85,110,277,38,,3,
PSU,166,21,Male,,,,,,Bachelor,IST,,,,,,Other,The Pennsylvania State University,Student Worker,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0,0,0,151,88,88,107,283,20,,0,
PSU,167,22,Male,,,,,,Bachelor,,,Other,BJC,Stage Crew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,0,0,1,139,82,79,101,262,4,,0,
PSU,169,40,Female,,,,Education,,,,Master,Other,Penn State,Senior Lecturer,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,0,1,2,0,2,133,76,76,98,250,24,,1,
PSU,173,20,Female,,,,,,Bachelor,Security Risk Analysis,,Other,Col. Jake Graham,Student researcher,1,Other,IST,Learning Assisstant,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,1,1,2,136,76,76,101,253,-2,,1,
